,user_id,lexeme_id,n_correct,n_seen
0,u:grpA,2b97dce464f0a69324ffd2955a7eff1f,28.0,32.0
1,u:iJnK,0e9f09196d4abc6a5ae82dd6d8772c95,3.0,3.0
2,u:gOYJ,49be13e31443271f28a234ace28cb91c,10.0,11.0
3,u:hQPg,64abda7edc42c9774a57d91720ad0f4e,3.0,3.0
4,u:iUy0,990c89aba5f77297866df927cafc1a1d,3.0,3.0
5,u:h0i-,b345a1955c1d133f1ec77c943aff6009,3.0,3.0
6,u:iL6L,ab5609e6c607e5642664fed06ffa0713,5.0,5.0
7,u:ixW2,bc4cfc44f8c83e308f291d83b95a5771,4.0,4.0
8,u:hHa_,58dc623cb7357e51b20768411843bde1,7.0,8.0
9,u:i6Lr,ba0a3f9e43bfc46291ffe54c4ff1aa99,4.0,4.0
10,u:iyFH,0146e7216d02bba1a08e6a23e4e744a9,3.0,4.0
11,u:hIuR,1bacf218eaaf9f944e525f7be9b31899,17.0,19.0
12,u:iQID,a52bc2771bde31d4d5e80bd29f350714,3.0,3.0
13,u:hUrb,d6284db28e478d575d8cc24ab1652feb,2.0,2.0
14,u:ik7v,65e39bd07057893f74d8db10b367f7aa,23.0,27.0
15,u:iP5d,bfa2713c4f93d7341626fd88601d008b,3.0,3.0
16,u:hu1J,d3619a3e50c3b522703d66166855d3bf,4.0,6.0
17,u:iE8X,0ed4e535d399f10f462b2f1e51b97d3f,3.0,3.0
18,u:gSxn,88128dcea3ea4913d99b389a6be9f2c2,6.0,9.0
19,u:ii8w,55f383178cf0fdc463ef1ebf91bd288d,5.0,6.0
20,u:eC0W,842bf8157c0a8dad3262d43a13c8f089,2.0,3.0
21,u:fAOt,31816c32dd8fdedbaa18851d825f5482,9.0,12.0
22,u:ixEm,e742bc8240d2a9d1e44a1f5d52684239,2.0,3.0
23,u:iX9j,1bacf218eaaf9f944e525f7be9b31899,4.0,4.0
24,u:iNp9,baa2d2366f5bb5b8e0ea7571c4af710b,3.0,3.0
25,u:eW8R,ad1ce3b238b7286adba60b1da4041594,7.0,7.0
26,u:i-TH,a96439c6627d7b2447435b1a5f32eade,1.0,2.0
27,u:iHwc,b788f6341ae71b9e2b8132609644b175,2.0,2.0
28,u:iRRS,e23a75193507ed70051a82f39fb7abf1,3.0,3.0
29,u:idfe,61c2f4dd9c024c9d99910ba2b04590b1,12.0,13.0
30,u:gg4J,14bcb8f93e4a16b09fcc2a4f90072b22,15.0,16.0
31,u:ipwH,768f410a8fc1caa64ee36071082a231c,3.0,3.0
32,u:goP0,3629ee563c2d56a4869e100a38014108,5.0,5.0
33,u:h0y-,142ad0f32d08728de0f9955df5b83f32,18.0,20.0
34,u:bxW0,d42adb3343d855fa2a1e94295a90c6dd,3.0,3.0
35,u:i6hL,5b714a6b291731d4b753c6372cde357a,2.0,2.0
36,u:eO5R,2b02940d1611b62e715e325c2ff4bad5,2.0,3.0
37,u:fcAR,94256143c28ad9010ded87d4ce69a9bd,2.0,6.0
38,u:hgDb,2627b8b437f653e9d83ecca78276326e,2.0,2.0
39,u:iK4s,faa6fd18132b358958e440322ee82b4b,6.0,8.0
40,u:hAy2,636b31a6256d1f7dadfd08eac27090d2,7.0,7.0
41,u:hXeZ,9e1f56b08922d1d9f7ab663b58d88367,1.0,4.0
42,u:i4_B,c52ab45d4e22ee7580041911159e3c0c,4.0,4.0
43,u:ie-f,1f4bb36e5aa8231dc04d772d8f4dc839,2.0,2.0
44,u:gsvR,4f5b0cd71bfa77c08eb61bb64522c8b4,13.0,14.0
45,u:-fk,56d40fb7b9c3644375aad62b1c725f2c,10.0,13.0
46,u:i5xp,e0aa39569dc04dde716999653ed53a0e,3.0,3.0
47,u:emc8,d27abb5cd2b7d25b51efe43da533b5a6,4.0,6.0
48,u:doPg,335fe9380e553c323369a8509bcc00f6,5.0,5.0
49,u:fQ5J,cc996312cd47e305f8b9058d3afc958c,4.0,6.0
50,u:f5LD,a5acd980d17d726d1c99e7b974d3f52d,4.0,6.0
51,u:imGC,099dfb07f4ace185b82838c1fb5781ff,3.0,3.0
52,u:gX7g,058bbe59ae8750949ec25588ef89fa7f,3.0,3.0
53,u:hJl9,61a7dbfa4d7f9539fca3b141feb55957,2.0,2.0
54,u:hNmL,65e5296142d056fd1403e95fb027f107,22.0,22.0
55,u:hVZ8,51fb73a04c05d6b9cc036aafd897a0ec,3.0,3.0
56,u:XNQ,5f1915e50d225aab53dde5e128e5bfb6,7.0,8.0
57,u:ixnW,d3655c4c158db4993a9ae4f199d95c5e,2.0,2.0
58,u:hY_v,97e922f780d628eac638bea7a02bf496,7.0,9.0
59,u:fJtQ,bb7ca1ff45b2ac26c875c4e764b48935,6.0,7.0
60,u:fTrW,b1d3c09c2fbf94a1bfa279ea186b9a12,16.0,18.0
61,u:cAUR,8b6401409f89715543edb1e0c707c162,7.0,7.0
62,u:h0ZV,2ab9354ca457363cf576534b0193c2a0,2.0,2.0
63,u:i5F1,547bb1812414cec172b0afef5ca93fce,2.0,3.0
64,u:ic8C,3c63da7f7a370e92def18891252d8efe,2.0,2.0
65,u:hyiH,2ca57053774396953fc2c5d4bdaa2205,6.0,7.0
66,u:iWBT,9443f902cdcf9f4da3b5f58d3f657efe,2.0,2.0
67,u:iuFX,b8b55f8044c9109cc9c06da459568e7c,9.0,10.0
68,u:ikhn,2142fe44da374d16f41e73c393d23c79,3.0,3.0
69,u:hYdO,1f4bb36e5aa8231dc04d772d8f4dc839,2.0,3.0
70,u:iVTU,142ad0f32d08728de0f9955df5b83f32,2.0,3.0
71,u:eEKc,f0018f1d6164d3c67265ca716588f7cb,9.0,10.0
72,u:iwo2,e7664931db39d9be2d8f6ecd2c0e004e,1.0,3.0
73,u:iHYt,fe1bb609fdb6337a3524f43bad7c7468,2.0,3.0
74,u:hYKH,b493941dee612f9cb734318c210ab257,4.0,4.0
75,u:ha4d,e83432c98b3619a933438e9300467491,7.0,7.0
76,u:gOYJ,b7a3752c84bc77954e67534210f28e99,2.0,3.0
77,u:ihwj,827a8ecb89f9b59ac5c29b620a5d3ed6,8.0,11.0
78,u:KY_,0bf514fe950f664559f637bd6bf25c27,3.0,3.0
79,u:gLzF,d6e1fec0bdd8524c85b360010522b7ed,3.0,4.0
80,u:hUBn,d0e80d740c4f2d0653951e65952c19d1,10.0,10.0
81,u:ivAm,e3f7a4495f1d47fbca713a5a70dbd8e9,0.0,2.0
82,u:hHOQ,e5f2357532c98ffe4d56cd17b08fbb02,9.0,9.0
83,u:hbuh,486d50260e6bed768670e38a4804e6d3,3.0,3.0
